experiment,parameters,size_mb,latency_ms,fps,best_epoch,validation_loss,validation_accuracy,test_loss,test_accuracy
mobilenet_v3,4250710,48.99,8.67,115.3,10,0.01103741346625695,0.9970643494598403,0.008036232803297063,0.9978991596638656
resnet18,11196006,128.26,4.45,224.7,9,0.012075100229195864,0.9969469234382339,0.01144594205431402,0.9961636828644501
deeper_cnn_adamw,1590054,18.24,2.21,452.1,15,0.037729073031778665,0.9893142320338187,0.027479147693715768,0.9908659115820241
deeper_cnn,1590054,18.23,2.6,384.8,9,0.0916931208603833,0.9720526068576797,0.07474529263840562,0.9770734380708805
baseline,399142,4.6,2.23,448.7,10,0.13200966689207216,0.9591357444809769,0.12058027955515714,0.9600840336134454
